#type	timestamp	serial	sender	destination	path	interface	member
#					in_reply_to
sig	1787915153.766354	2	org.freedesktop.DBus	:1.3	/org/freedesktop/DBus	org.freedesktop.DBus	NameAcquired
sig	1787915153.766359	4	org.freedesktop.DBus	:1.3	/org/freedesktop/DBus	org.freedesktop.DBus	NameLost
sig	1787915153.767572	5	:1.0	<none>	/org/a11y/atspi/registry	org.a11y.atspi.Registry	EventListenerDeregistered
mc	1787915153.818538	1	:1.4	org.freedesktop.DBus	/org/freedesktop/DBus	org.freedesktop.DBus	Hello
mr	1787915153.819179	1	org.freedesktop.DBus	:1.4	1
sig	1787915153.819193	7	org.freedesktop.DBus	<none>	/org/freedesktop/DBus	org.freedesktop.DBus	NameOwnerChanged
sig	1787915153.819196	2	org.freedesktop.DBus	:1.4	/org/freedesktop/DBus	org.freedesktop.DBus	NameAcquired
mc	1787915153.819198	2	:1.4	org.freedesktop.DBus	/org/freedesktop/DBus	org.freedesktop.DBus	AddMatch
mc	1787915153.819200	3	:1.4	org.freedesktop.DBus	/org/freedesktop/DBus	org.freedesktop.DBus	AddMatch
mc	1787915153.819202	4	:1.4	org.freedesktop.DBus	/org/freedesktop/DBus	org.freedesktop.DBus	AddMatch
mc	1787915153.819204	5	:1.4	org.freedesktop.DBus	/org/freedesktop/DBus	org.freedesktop.DBus	AddMatch
mc	1787915153.819206	6	:1.4	org.freedesktop.DBus	/org/freedesktop/DBus	org.freedesktop.DBus	AddMatch
mc	1787915153.819208	7	:1.4	org.freedesktop.DBus	/org/freedesktop/DBus	org.freedesktop.DBus	AddMatch
mc	1787915153.819221	8	:1.4	org.freedesktop.DBus	/org/freedesktop/DBus	org.freedesktop.DBus	AddMatch
mr	1787915153.819223	3	org.freedesktop.DBus	:1.4	8
mc	1787915153.819501	9	:1.4	org.a11y.atspi.Registry	/org/a11y/atspi/registry	org.a11y.atspi.Registry	RegisterEvent
sig	1787915153.819710	6	:1.0	<none>	/org/a11y/atspi/registry	org.a11y.atspi.Registry	EventListenerRegistered
mr	1787915153.819716	7	:1.0	:1.4	9
mc	1787915153.819862	10	:1.4	org.freedesktop.DBus	/org/freedesktop/DBus	org.freedesktop.DBus	AddMatch
mr	1787915153.819867	4	org.freedesktop.DBus	:1.4	10
mc	1787915153.819939	11	:1.4	org.a11y.atspi.Registry	/org/a11y/atspi/registry	org.a11y.atspi.Registry	RegisterEvent
sig	1787915153.820065	8	:1.0	<none>	/org/a11y/atspi/registry	org.a11y.atspi.Registry	EventListenerRegistered
mr	1787915153.820123	9	:1.0	:1.4	11
mc	1787915153.820228	12	:1.4	org.freedesktop.DBus	/org/freedesktop/DBus	org.freedesktop.DBus	AddMatch
